algorithm,seed,total_rewards,final_regret,avg_regret,theoretical_bound,regret_ratio,efficiency,regret_compliance,learning_trend,total_purchases,stability,timestamp,cost_coeff,confidence_multiplier,softmax_temperature,performance_score
CombinatorialUCBSeller,789,1835.5,2977.1999999999975,2.9772,83.1129068134555,35.8211511803123,38.13867475637377,False,-0.010788715405749666,1000,2.4166999184436277,2025-07-11T18:32:07.565393,1.0,1.0,0.7,23.641658802681384
CombinatorialUCBSeller,456,1804.775,2992.125,2.992125,83.1129068134555,36.000726177412346,37.62377785653235,False,-0.0003958566998746018,1000,2.4962424725125674,2025-07-11T18:32:07.834624,1.0,1.0,0.7,24.03941060716482
CombinatorialUCBSeller,999,1813.975,2994.3749999999995,2.9943749999999993,83.1129068134555,36.02779778501535,37.72551914898041,False,-0.021995127233351668,1000,2.21170441579573,2025-07-11T18:32:08.103104,1.0,1.0,0.7,22.323046087120336
CombinatorialUCBSeller,42,1789.1750000000002,3020.1250000000023,3.020125,83.1129068134555,36.33761729424992,37.20239951760133,False,0.022760068214613786,1000,2.4649113134537974,2025-07-11T18:32:08.371474,1.0,1.0,1.0,24.101119100919796
CombinatorialUCBSeller,123,1803.5,2996.2,2.9962,83.1129068134555,36.049755866737804,37.57526512073671,False,0.012421142091328163,999,2.437536244640498,2025-07-11T18:32:08.639933,1.0,1.0,1.0,23.92320493184078
CombinatorialUCBSeller,789,1803.1250000000002,3009.5749999999985,3.009575,83.1129068134555,36.210681534155725,37.46597543998173,False,-0.004172461752433918,1000,2.3463165896618023,2025-07-11T18:32:08.908364,1.0,1.0,1.0,23.184189708954356
CombinatorialUCBSeller,456,1786.55,3010.3499999999985,3.01035,83.1129068134555,36.220006198996764,37.24384498321833,False,0.0031359226472413133,1000,2.4805193805738783,2025-07-11T18:32:09.176699,1.0,1.0,1.0,23.898119587026663
CombinatorialUCBSeller,999,1791.15,3017.200000000001,3.0172,83.1129068134555,36.302424204365984,37.25082408726486,False,-0.02800458870369127,1000,2.2061776238610995,2025-07-11T18:32:09.445009,1.0,1.0,1.0,22.060773494438955
CombinatorialUCBSeller,42,1774.3750000000002,3034.9249999999993,3.0349250000000003,83.1129068134555,36.51568831314973,36.89466242488513,False,0.022642982627366883,1000,2.41781327192136,2025-07-11T18:32:09.713911,1.0,1.0,1.5,23.770216804958203
CombinatorialUCBSeller,123,1783.475,3016.2249999999985,3.0162250000000004,83.1129068134555,36.290693174404645,37.158051544888224,False,0.008495264134362027,999,2.3916814961756736,2025-07-11T18:32:09.983071,1.0,1.0,1.5,23.508047441363527
CombinatorialUCBSeller,789,1768.6000000000001,3044.0999999999976,3.0440999999999994,83.1129068134555,36.62608031304201,36.74860265547407,False,-0.007466596803772794,1000,2.362286437199359,2025-07-11T18:32:10.252975,1.0,1.0,1.5,22.996300098541845
CombinatorialUCBSeller,456,1756.3000000000002,3040.599999999998,3.0406,83.1129068134555,36.583968923437325,36.61322937730618,False,0.0058842547688329186,1000,2.4454951704649526,2025-07-11T18:32:10.521368,1.0,1.0,1.5,23.572307126004205
CombinatorialUCBSeller,999,1768.775,3039.575000000002,3.0395749999999997,83.1129068134555,36.571636302196,36.78548774527645,False,-0.029214768940796564,1000,2.1698660340035283,2025-07-11T18:32:10.790258,1.0,1.0,1.5,21.71944527299398
CombinatorialUCBSeller,42,1763.9250000000002,3045.374999999998,3.045375,83.1129068134555,36.641420890683726,36.67737508577133,False,0.020857699805068096,1000,2.3917709625177723,2025-07-11T18:32:11.058752,1.0,1.0,2.0,23.54710521625637
CombinatorialUCBSeller,123,1769.425,3030.2749999999983,3.030275,83.1129068134555,36.45974032410348,36.865324916140594,False,0.00116830012332044,999,2.350797529145478,2025-07-11T18:32:11.326703,1.0,1.0,2.0,23.104634541123655
CombinatorialUCBSeller,789,1753.1750000000002,3059.524999999998,3.059525,83.1129068134555,36.8116712229427,36.42809649469114,False,-0.006825051187883879,1000,2.3201202134326726,2025-07-11T18:32:11.595380,1.0,1.0,2.0,22.69757126853975
CombinatorialUCBSeller,456,1741.7000000000003,3055.1999999999966,3.0551999999999997,83.1129068134555,36.75963357721688,36.30886614271718,False,0.005476980572827702,1000,2.3569884861819546,2025-07-11T18:32:11.863112,1.0,1.0,2.0,23.031056477985175
CombinatorialUCBSeller,999,1752.025,3056.3250000000044,3.0563249999999997,83.1129068134555,36.773169381018484,36.4371353998773,False,-0.028553278277441696,1000,2.156117483882425,2025-07-11T18:32:12.131178,1.0,1.0,2.0,21.55462876931382
CombinatorialUCBSeller,42,1737.4750000000001,3071.8249999999985,3.071825,83.1129068134555,36.9596626778392,36.12739899777515,False,0.022928256745023613,1000,2.367674830452396,2025-07-11T18:32:12.439134,1.0,1.0,3.0,23.290352862548055
